time,low,high,open,close,volume
1740009600,2710.0,2733.69,2715.3,2728.88,2858.30050786
1740006000,2711.18,2734.21,2721.33,2715.27,5588.15218791
1740002400,2708.28,2730.55,2709.64,2721.34,2251.69379823
1739998800,2705.98,2729.58,2720.52,2709.93,3772.95677495
1739995200,2708.46,2725.63,2711.58,2720.5,8941.00932107
1739991600,2694.38,2724.15,2699.54,2711.74,6191.88553827
1739988000,2696.37,2712.47,2710.57,2699.57,6017.86596695
1739984400,2700.19,2719.14,2711.34,2710.57,4640.6737891
1739980800,2696.56,2719.49,2696.56,2711.35,5935.02570001
1739977200,2677.36,2712.29,2691.0,2696.41,8545.07254641
1739973600,2687.78,2731.07,2717.85,2690.49,8978.73860194
1739970000,2704.4,2720.0,2704.47,2717.88,4294.89756465
1739966400,2703.36,2727.2,2726.57,2704.19,2968.10791505
1739962800,2723.38,2736.29,2725.54,2726.57,2743.03236034
1739959200,2719.86,2736.09,2723.43,2725.61,2883.70462102
1739955600,2703.95,2729.0,2707.19,2723.3,2708.9989407
1739952000,2706.09,2724.82,2707.72,2707.19,2593.45102983
1739948400,2696.95,2716.42,2698.08,2707.73,3580.32550561
1739944800,2684.85,2704.28,2686.18,2697.88,2346.70417043
1739941200,2663.7,2694.61,2665.31,2686.11,2621.8599687
1739937600,2665.43,2693.99,2692.64,2665.44,2182.21677706
1739934000,2675.71,2695.96,2689.74,2692.65,2707.9907953
1739930400,2667.79,2698.42,2668.75,2689.74,3187.96386705
1739926800,2654.68,2670.66,2668.68,2668.67,2703.75450678
1739923200,2665.62,2678.0,2670.57,2668.6,2598.65026718
