time,low,high,open,close,volume
1739923200,129.59,132.94,129.67,131.57,39915.27020727
1739919600,128.07,129.76,128.11,129.63,15016.54265826
1739916000,127.81,129.71,128.64,128.11,20676.72203076
1739912400,126.36,129.11,126.7,128.59,38325.45947411
1739908800,125.13,127.52,125.62,126.7,20985.02903072
1739905200,123.67,126.76,124.69,125.62,18735.21449342
1739901600,124.3,128.0,126.38,124.71,43885.71269764
1739898000,121.74,126.5,121.78,126.43,45452.47527611
1739894400,120.63,125.43,124.72,121.76,52794.52014428
1739890800,123.74,126.84,126.66,124.75,29025.77902318
1739887200,125.1,128.28,127.11,126.67,21675.97698005
1739883600,126.34,128.04,127.59,127.11,12608.19549107
1739880000,124.75,128.42,124.97,127.58,18951.83427171
1739876400,124.13,125.66,124.27,124.99,14629.69547749
1739872800,123.16,124.81,124.38,124.28,8664.46141673
1739869200,122.69,124.59,122.91,124.44,15543.82174941
1739865600,122.57,124.26,122.57,122.96,13653.13828026
1739862000,121.37,124.88,121.38,122.56,12567.52407765
1739858400,119.79,122.25,122.0,121.42,21743.65458271
1739854800,121.7,124.19,124.19,122.0,15809.76624293
1739851200,123.82,126.17,125.49,124.14,16303.58089339
1739847600,123.46,126.17,123.71,125.5,21488.72328353
1739844000,123.41,124.61,123.73,123.71,10194.05438419
1739840400,122.1,124.04,122.1,123.72,9890.2785042
1739836800,121.43,122.5,122.28,122.07,12580.94537003
