time,low,high,open,close,volume
1740096000,0.7973,0.8049,0.8036,0.7982,843424.03372478
1740092400,0.8001,0.8067,0.8017,0.8037,997177.15788005
1740088800,0.7984,0.8045,0.8025,0.8018,828219.68937139
1740085200,0.8013,0.8076,0.806,0.8025,1978913.70486238
1740081600,0.8042,0.8112,0.8109,0.8059,1526884.1689352
1740078000,0.8057,0.8112,0.806,0.8108,2534926.17312
1740074400,0.8006,0.8069,0.8006,0.8061,2234260.70065905
1740070800,0.7944,0.8015,0.7944,0.8007,2801732.27110485
1740067200,0.7833,0.7996,0.7846,0.794,1565681.7468812
1740063600,0.7823,0.792,0.7872,0.7844,2676962.28334484
1740060000,0.7842,0.7996,0.7895,0.7871,3011258.94580121
1740056400,0.7856,0.7911,0.7862,0.7894,988632.62369564
1740052800,0.7852,0.7939,0.7916,0.786,1192470.95283172
1740049200,0.7893,0.7953,0.7925,0.7912,1207299.99499218
1740045600,0.7798,0.7927,0.7859,0.7925,1736788.64682749
1740042000,0.784,0.7899,0.7881,0.7858,580799.8892933
1740038400,0.7809,0.788,0.7813,0.788,1370715.99243639
1740034800,0.7792,0.7848,0.7828,0.7813,547171.83933032
1740031200,0.7763,0.783,0.777,0.7827,815551.38607661
1740027600,0.7761,0.7811,0.7791,0.7768,925818.35100119
1740024000,0.7781,0.7853,0.7826,0.779,1123011.05123998
1740020400,0.7789,0.7881,0.7843,0.7826,1005985.96723847
1740016800,0.7748,0.7874,0.7759,0.7841,2726780.11286305
1740013200,0.7721,0.7808,0.7783,0.776,1724676.90099258
1740009600,0.7702,0.7822,0.7741,0.7783,1271307.63574589
