time,low,high,open,close,volume
1740009600,133.63,135.2,134.87,134.66,17912.57598174
1740006000,134.48,136.64,134.94,134.87,21638.4999298
1740002400,133.2,135.27,134.06,134.94,11359.95230026
1739998800,133.28,136.1,135.92,134.05,18826.78839715
1739995200,135.32,137.02,135.69,135.94,13845.59713414
1739991600,134.11,135.91,134.87,135.74,13314.80440375
1739988000,134.77,136.42,136.37,134.87,20974.11673053
1739984400,135.02,137.6,135.56,136.38,26798.94949613
1739980800,135.09,138.47,136.53,135.6,30829.95696344
1739977200,134.36,137.65,134.4,136.56,24616.92842604
1739973600,133.66,136.67,136.5,134.36,20979.35976483
1739970000,135.31,137.01,135.92,136.5,23472.26877204
1739966400,135.24,137.62,135.88,135.9,21046.62908312
1739962800,135.48,137.86,137.73,135.88,31996.56847285
1739959200,136.05,139.82,136.05,137.77,49353.0863585
1739955600,134.57,136.54,135.47,136.06,20328.94777024
1739952000,134.72,136.48,134.75,135.46,19698.96297174
1739948400,132.3,135.35,132.37,134.75,24185.40985791
1739944800,131.16,133.99,131.32,132.33,24229.82034802
1739941200,130.07,131.81,130.43,131.35,20758.16810238
1739937600,130.26,133.47,133.03,130.5,19982.35261018
1739934000,132.03,133.99,133.25,133.08,25141.33632688
1739930400,131.81,133.84,132.87,133.26,26916.00861505
1739926800,130.49,133.56,131.59,132.83,42811.680564
1739923200,129.59,132.94,129.67,131.57,39915.27020727
