time,low,high,open,close,volume
1739836800,0.7902,0.8123,0.8091,0.7917,2650620.55505813
1739833200,0.8021,0.8093,0.8023,0.809,1558576.89050989
1739829600,0.8024,0.8178,0.8173,0.8024,2065939.01209517
1739826000,0.799,0.8183,0.8003,0.8173,2654710.06581219
1739822400,0.7979,0.8114,0.8063,0.8004,2576484.26734357
1739818800,0.7835,0.809,0.7876,0.8064,2456632.86173005
1739815200,0.7858,0.8007,0.7952,0.7878,6155405.39041133
1739811600,0.7923,0.8034,0.7971,0.7955,2310867.94418806
1739808000,0.7923,0.8142,0.8095,0.7971,4403287.00887475
1739804400,0.8039,0.8287,0.8227,0.8096,8927091.46652776
1739800800,0.811,0.8267,0.8129,0.8227,7609105.08495865
1739797200,0.8047,0.8162,0.8083,0.8127,1505207.83416342
1739793600,0.8,0.8099,0.8007,0.8081,1559483.06173247
1739790000,0.7961,0.8094,0.7987,0.8004,1957256.1784642
1739786400,0.7953,0.805,0.7962,0.7991,1117878.28022308
1739782800,0.7926,0.7995,0.7967,0.7959,983413.99518872
1739779200,0.7911,0.803,0.7941,0.7964,3604599.40611387
1739775600,0.7876,0.8129,0.8072,0.7937,3370536.3002586
1739772000,0.8018,0.8143,0.8023,0.8072,2982127.09645925
1739768400,0.7955,0.8178,0.8062,0.8023,4330492.92752403
1739764800,0.7893,0.8118,0.7947,0.8064,4212918.62167558
1739761200,0.7847,0.7959,0.7913,0.7949,1414045.48166549
1739757600,0.7914,0.7994,0.7962,0.7914,2256494.58974144
1739754000,0.7808,0.7968,0.782,0.7962,3085416.46501882
1739750400,0.7706,0.7875,0.7714,0.7818,2573156.01195404
