time,low,high,open,close,volume
1740182400,0.757,0.7769,0.7616,0.7746,2234736.00745694
1740178800,0.7566,0.7638,0.7615,0.7618,893268.87032454
1740175200,0.7525,0.7649,0.755,0.7615,3707615.08220849
1740171600,0.75,0.7586,0.7551,0.7553,2535283.74302413
1740168000,0.752,0.763,0.7538,0.7552,5018976.75474326
1740164400,0.7511,0.7762,0.7736,0.7538,3620748.40013294
1740160800,0.7649,0.7833,0.7697,0.7735,3215299.40638888
1740157200,0.7689,0.796,0.7942,0.7697,5867356.08601813
1740153600,0.794,0.8122,0.8004,0.7945,6493054.85954605
1740150000,0.7801,0.8171,0.806,0.8002,7811821.6461856
1740146400,0.7986,0.8176,0.8164,0.8061,3584984.78183727
1740142800,0.8007,0.8191,0.8012,0.8165,2454392.57060386
1740139200,0.7963,0.8025,0.7985,0.8011,589148.83135141
1740135600,0.7981,0.8067,0.8057,0.7983,508131.90703377
1740132000,0.8013,0.8081,0.8029,0.8058,609612.37753339
1740128400,0.8007,0.8136,0.8012,0.8028,1365669.22244554
1740124800,0.7942,0.8048,0.7975,0.8011,562761.45156793
1740121200,0.7958,0.8016,0.797,0.7974,499357.00975631
1740117600,0.7957,0.8026,0.8023,0.797,1024627.40319322
1740114000,0.8014,0.8052,0.8037,0.8024,491237.87962775
1740110400,0.7991,0.8037,0.7994,0.8034,653410.23912757
1740106800,0.7984,0.804,0.8033,0.7994,577472.23821979
1740103200,0.7997,0.8071,0.8021,0.8033,1701975.46563618
1740099600,0.7965,0.803,0.7983,0.802,965052.60150893
1740096000,0.7973,0.8049,0.8036,0.7982,843424.03372478
