time,low,high,open,close,volume
1740182400,2.5508,2.5878,2.571,2.5825,4281224.103397
1740178800,2.5521,2.5752,2.5623,2.571,4428885.62332
1740175200,2.5313,2.5708,2.534,2.5626,6834349.026619
1740171600,2.5238,2.5458,2.5261,2.5341,6954928.119465
1740168000,2.514,2.5479,2.5252,2.5261,7014091.717338
1740164400,2.5055,2.5833,2.5756,2.525,12006556.008891
1740160800,2.5528,2.5863,2.569,2.5756,6913220.812178
1740157200,2.557,2.6391,2.6297,2.5692,10218777.380161
1740153600,2.595,2.6481,2.6147,2.6297,10373891.311883
1740150000,2.5653,2.6992,2.6694,2.6148,20091968.520651
1740146400,2.6511,2.7018,2.6992,2.6694,5368974.992162
1740142800,2.6645,2.7158,2.6659,2.6991,7103742.952804
1740139200,2.6451,2.6666,2.6507,2.6659,3087583.175446
1740135600,2.6507,2.677,2.676,2.6507,3291129.687279
1740132000,2.6603,2.6792,2.6678,2.6758,2048199.866966
1740128400,2.6473,2.695,2.6722,2.6678,4350304.079403
1740124800,2.6552,2.6762,2.6604,2.6724,1384322.2779
1740121200,2.6577,2.6759,2.668,2.6607,1424101.48308
1740117600,2.6443,2.6698,2.6493,2.6677,2306556.60678
1740114000,2.647,2.6601,2.6558,2.6495,2944504.395805
1740110400,2.6417,2.6596,2.6444,2.6558,2403093.507988
1740106800,2.6381,2.6631,2.6576,2.6446,3526757.360452
1740103200,2.6541,2.6739,2.6649,2.6575,2434926.516182
1740099600,2.6524,2.6835,2.6797,2.6649,3772440.718501
1740096000,2.6697,2.694,2.6884,2.6797,3360200.305666
