time,low,high,open,close,volume
1739836800,2.6255,2.6659,2.6599,2.6361,4311804.942446
1739833200,2.6437,2.6627,2.6521,2.66,2234249.299232
1739829600,2.651,2.6867,2.6853,2.6521,2480759.374617
1739826000,2.6589,2.6856,2.6598,2.6855,3264448.150706
1739822400,2.647,2.6662,2.6482,2.6604,3042893.947884
1739818800,2.6109,2.6549,2.6257,2.6492,3430135.193408
1739815200,2.615,2.6546,2.6529,2.6259,4919430.055274
1739811600,2.6169,2.6667,2.6177,2.6526,7426322.56496
1739808000,2.607,2.6549,2.6479,2.6177,11661850.744258
1739804400,2.6412,2.7237,2.7148,2.648,6779340.41754
1739800800,2.6772,2.7322,2.6822,2.7152,5861283.74424
1739797200,2.6692,2.6932,2.6908,2.6825,3740412.317238
1739793600,2.67,2.6964,2.6727,2.691,2948140.360154
1739790000,2.6653,2.6866,2.6748,2.6726,1818632.181933
1739786400,2.6723,2.6999,2.68,2.6751,1934313.676285
1739782800,2.6699,2.6889,2.6723,2.6803,1982840.205889
1739779200,2.6421,2.6744,2.6551,2.6721,2336731.677092
1739775600,2.6359,2.6892,2.6763,2.6554,4733485.06324
1739772000,2.6651,2.704,2.6918,2.6763,3536046.646877
1739768400,2.6537,2.7063,2.7033,2.6914,6935931.741623
1739764800,2.6923,2.7181,2.7132,2.7037,3330232.783567
1739761200,2.7004,2.734,2.734,2.7132,5027356.067782
1739757600,2.7311,2.7636,2.7601,2.7339,1924275.756086
1739754000,2.7391,2.7644,2.7467,2.7607,2715537.922933
1739750400,2.722,2.7483,2.7289,2.7469,2799033.351707
