time,low,high,open,close,volume
1740096000,2.6697,2.694,2.6884,2.6797,3360200.305666
1740092400,2.6848,2.7001,2.6866,2.6884,3167563.444829
1740088800,2.6763,2.6942,2.6766,2.6864,3124393.508859
1740085200,2.6714,2.6992,2.6982,2.6764,4923777.357948
1740081600,2.6936,2.7161,2.7084,2.6982,3352843.595121
1740078000,2.7035,2.7211,2.7126,2.7089,4479572.218752
1740074400,2.7034,2.7292,2.704,2.7125,5191405.047557
1740070800,2.6873,2.7059,2.6876,2.7046,3206661.054687
1740067200,2.6672,2.7076,2.6731,2.6879,4189985.483517
1740063600,2.6705,2.701,2.6925,2.6734,5275831.076514
1740060000,2.6865,2.7473,2.7047,2.6927,7755033.665749
1740056400,2.6811,2.706,2.6878,2.7049,2390551.430604
1740052800,2.6805,2.71,2.6812,2.6873,2562014.862219
1740049200,2.6772,2.709,2.7068,2.6811,2689856.439222
1740045600,2.6833,2.707,2.6927,2.7069,1968879.540666
1740042000,2.6895,2.7125,2.705,2.6932,1710152.78567
1740038400,2.6816,2.7056,2.6855,2.7048,1518171.378658
1740034800,2.6681,2.7015,2.6854,2.6858,3686989.837128
1740031200,2.6849,2.7247,2.7188,2.6854,3248529.551117
1740027600,2.7077,2.7332,2.7139,2.7185,4813277.766175
1740024000,2.6995,2.717,2.7038,2.7136,2598977.785291
1740020400,2.6909,2.7122,2.6909,2.704,3538995.381721
1740016800,2.681,2.7063,2.6956,2.6916,3796722.781895
1740013200,2.685,2.7189,2.7136,2.6951,5898002.726083
1740009600,2.7026,2.7485,2.7377,2.7141,9671159.737806
