time,low,high,open,close,volume
1740236400,96482.88,96725.98,96535.89,96623.32,339.42405689
1740232800,96525.34,96727.48,96555.0,96535.89,249.8513513
1740229200,96511.29,96896.46,96809.07,96545.67,325.4283953
1740225600,96556.53,96982.52,96579.98,96809.07,335.74009382
1740222000,96480.43,96637.44,96481.35,96579.99,242.73949339
1740218400,96408.41,96593.94,96484.91,96481.35,250.89269654
1740214800,96138.4,96513.86,96200.39,96484.92,273.8700734
1740211200,96121.83,96364.12,96288.04,96196.89,230.23929879
1740207600,96285.87,96535.55,96395.0,96288.05,241.31678414
1740204000,96323.22,96581.92,96517.66,96395.01,228.16153123
1740200400,96313.72,96538.92,96404.17,96517.67,246.65211124
1740196800,96278.1,96501.71,96310.62,96404.17,254.00207323
1740193200,96162.18,96385.0,96348.51,96310.61,231.83050099
1740189600,96100.33,96469.62,96235.59,96348.5,276.31968765
1740186000,96110.85,96470.04,96189.66,96235.72,478.86222062
1740182400,95767.95,96242.61,96157.03,96189.66,838.51928024
