time,low,high,open,close,volume
1739923200,0.7482,0.7578,0.7539,0.7495,1605548.72554078
1739919600,0.7462,0.7573,0.748,0.7538,1304235.66396597
1739916000,0.7423,0.7545,0.7466,0.7482,2559078.09602082
1739912400,0.7415,0.756,0.7426,0.7465,1811299.68547079
1739908800,0.74,0.7537,0.7477,0.7427,2423859.32303264
1739905200,0.7382,0.7506,0.7426,0.7473,2026012.93654387
1739901600,0.7404,0.7512,0.7499,0.7425,3813381.48200685
1739898000,0.735,0.7506,0.7393,0.75,4549542.21692028
1739894400,0.7374,0.7601,0.7552,0.7394,5509479.18030768
1739890800,0.747,0.7777,0.7753,0.7551,6066024.33757489
1739887200,0.7711,0.7987,0.7883,0.7752,2259704.93123639
1739883600,0.7855,0.7941,0.7905,0.7883,1627707.20165574
1739880000,0.7717,0.7908,0.7732,0.7905,2227678.1020199
1739876400,0.7685,0.7766,0.7766,0.7734,1899251.92746201
1739872800,0.776,0.7875,0.7843,0.7767,830835.17691038
1739869200,0.7659,0.7864,0.7693,0.7842,1516417.13235954
1739865600,0.7674,0.7809,0.7773,0.7695,1778374.29434592
1739862000,0.7739,0.7874,0.7798,0.7772,1594675.90628528
1739858400,0.7764,0.7908,0.7893,0.7793,5355624.93515251
1739854800,0.7865,0.8054,0.8051,0.7893,2825965.55204453
1739851200,0.8017,0.8139,0.8079,0.8052,1235604.48912197
1739847600,0.7955,0.8132,0.7969,0.8077,3103633.01945321
1739844000,0.7949,0.8052,0.8035,0.7968,1042353.34641996
1739840400,0.7902,0.8034,0.7917,0.8034,963069.78363275
1739836800,0.7902,0.8123,0.8091,0.7917,2650620.55505813
