time,low,high,open,close,volume
1740236400,0.7679,0.7759,0.7679,0.7743,1601517.78553855
1740232800,0.7666,0.7716,0.7704,0.7678,283422.23668514
1740229200,0.7692,0.7741,0.7714,0.7703,689429.80061721
1740225600,0.7663,0.7722,0.7683,0.7714,937600.44130611
1740222000,0.7642,0.7704,0.7671,0.7683,428244.27770205
1740218400,0.765,0.7743,0.766,0.7669,701785.92387974
1740214800,0.7604,0.7664,0.7606,0.766,281909.70545487
1740211200,0.7584,0.7645,0.7628,0.7606,1469716.64552268
1740207600,0.7629,0.7708,0.7661,0.7629,490303.75975003
1740204000,0.765,0.7709,0.7702,0.766,310764.47550452
1740200400,0.7679,0.7732,0.7721,0.7702,839040.28461372
1740196800,0.7635,0.772,0.7639,0.7718,379113.2175712
1740193200,0.7619,0.7686,0.7658,0.7641,537115.2165134
1740189600,0.7644,0.774,0.7739,0.7659,970492.22610451
1740186000,0.7699,0.7767,0.7745,0.7737,1989213.51201505
1740182400,0.757,0.7769,0.7616,0.7746,2234736.00745694
