time,low,high,open,close,volume
1739750400,2658.68,2672.45,2661.51,2670.72,4334.55126503
1739746800,2652.55,2680.13,2679.46,2661.51,10840.88271209
1739743200,2664.15,2687.88,2687.36,2679.24,2448.08581589
1739739600,2663.97,2689.65,2670.54,2687.42,2587.91716089
1739736000,2670.03,2686.44,2683.7,2670.54,1639.9729925
1739732400,2668.16,2687.9,2680.03,2683.71,2211.66986666
1739728800,2659.95,2688.62,2688.49,2680.01,5432.23287079
1739725200,2685.9,2703.62,2697.12,2688.73,1359.01932012
1739721600,2689.97,2700.96,2694.44,2697.12,1295.56910902
1739718000,2687.26,2702.36,2692.52,2694.44,2083.8651368
1739714400,2676.7,2698.87,2692.37,2692.56,2542.66212647
1739710800,2689.09,2709.74,2706.0,2692.53,1298.64191371
1739707200,2703.99,2712.87,2711.02,2706.0,627.16922831
1739703600,2694.49,2713.06,2696.09,2711.02,947.93486694
1739700000,2693.54,2708.0,2704.77,2696.09,761.58210096
1739696400,2689.72,2707.83,2696.98,2704.77,828.84258971
1739692800,2692.09,2705.19,2695.78,2696.98,834.01856706
1739689200,2690.74,2710.97,2710.96,2695.76,1575.43438663
1739685600,2706.7,2720.28,2709.04,2710.86,1299.23248925
1739682000,2696.74,2726.58,2703.61,2709.05,4769.15053698
1739678400,2697.63,2704.36,2699.04,2703.61,810.61966055
1739674800,2688.39,2699.05,2690.78,2699.05,1289.59445108
1739671200,2688.0,2700.75,2700.45,2690.79,1439.69651346
1739667600,2692.83,2702.98,2700.15,2700.45,1452.72803326
1739664000,2690.22,2706.28,2693.58,2700.15,1950.08838195
