time,low,high,open,close,volume
1740182400,126.66,129.26,128.04,129.21,22843.94063668
1740178800,126.51,128.3,127.55,128.04,13865.30479172
1740175200,126.84,129.3,127.35,127.58,19694.06897439
1740171600,125.42,127.43,126.1,127.39,27600.91518584
1740168000,124.14,127.09,124.46,126.13,25314.6013639
1740164400,123.66,128.1,127.5,124.46,59241.15971866
1740160800,127.27,130.02,129.09,127.51,31735.30405234
1740157200,128.77,133.09,132.91,129.08,38890.38322383
1740153600,132.22,135.24,132.87,132.94,25476.84139375
1740150000,129.54,135.82,135.21,132.88,60314.71970537
1740146400,132.96,138.84,138.49,135.23,25689.82464604
1740142800,134.58,140.0,134.86,138.57,37843.48723156
1740139200,134.1,135.6,135.18,134.87,9300.18451791
1740135600,134.78,136.24,135.49,135.18,9622.2061376
1740132000,134.07,135.66,134.29,135.51,7762.77678264
1740128400,133.67,135.8,134.49,134.31,20685.65191478
1740124800,132.79,134.73,132.83,134.48,14890.24299855
1740121200,132.5,134.71,134.07,132.86,14346.26512328
1740117600,134.04,136.21,135.2,134.07,13861.41118873
1740114000,133.96,136.3,135.05,135.2,17394.08808244
1740110400,134.13,135.85,134.85,135.09,16173.47201986
1740106800,134.72,137.81,136.16,134.91,21864.01050255
1740103200,133.11,139.25,133.7,136.17,64515.63122754
1740099600,131.89,135.86,134.8,133.77,41808.66213201
1740096000,130.28,135.96,130.9,134.77,53417.81999219
