time,low,high,open,close,volume
1740096000,130.28,135.96,130.9,134.77,53417.81999219
1740092400,128.15,130.97,128.15,130.89,23262.00554914
1740088800,126.87,129.43,127.5,128.13,11579.11437986
1740085200,127.52,129.41,129.18,127.53,8306.03132792
1740081600,127.41,130.0,127.7,129.18,25647.5638637
1740078000,127.17,129.14,129.03,127.68,13848.11045712
1740074400,128.27,129.85,128.92,129.06,24986.36725715
1740070800,125.86,129.36,126.67,128.96,21467.91856805
1740067200,126.39,128.65,127.93,126.68,28540.02105966
1740063600,127.44,128.67,128.14,127.92,16096.73558028
1740060000,126.7,130.74,128.53,128.18,38033.19080888
1740056400,127.45,128.64,128.53,128.53,22047.38459819
1740052800,128.23,130.28,129.86,128.52,19563.34808246
1740049200,128.76,130.96,130.24,129.87,19825.67541918
1740045600,128.49,130.37,129.08,130.24,13023.48390394
1740042000,128.1,129.75,129.75,129.08,8682.43520916
1740038400,128.9,130.29,129.59,129.76,16677.55806734
1740034800,128.47,130.1,129.88,129.59,29444.83125773
1740031200,129.68,131.25,131.03,129.87,13015.32389722
1740027600,130.39,132.65,131.89,131.06,18073.84266867
1740024000,131.74,133.25,132.84,131.97,15478.25989658
1740020400,132.44,133.61,133.14,132.87,13116.5980273
1740016800,130.5,133.47,132.78,133.13,31193.0546496
1740013200,132.36,135.15,134.61,132.79,16674.81565804
1740009600,133.63,135.2,134.87,134.66,17912.57598174
