time,low,high,open,close,volume
1739923200,2.5299,2.576,2.5615,2.5368,6121609.240462
1739919600,2.5384,2.5675,2.5452,2.561,4940052.135824
1739916000,2.526,2.5596,2.532,2.5455,4936939.545487
1739912400,2.4997,2.5434,2.5028,2.532,5994573.446495
1739908800,2.4948,2.5215,2.5107,2.5026,3624960.675
1739905200,2.4867,2.5243,2.5146,2.5105,6918250.605746
1739901600,2.4946,2.5352,2.5039,2.5146,6801442.127952
1739898000,2.4687,2.5054,2.4901,2.5038,8456330.564723
1739894400,2.4743,2.556,2.5402,2.4903,16472165.370234
1739890800,2.5251,2.581,2.5769,2.54,9201166.613599
1739887200,2.5623,2.6301,2.6096,2.5769,6286002.554197
1739883600,2.5966,2.6159,2.608,2.6095,3226601.629898
1739880000,2.57,2.6216,2.5727,2.6078,3252183.950787
1739876400,2.5679,2.5897,2.5882,2.5724,2047039.708955
1739872800,2.5859,2.6094,2.6001,2.588,1906949.068575
1739869200,2.5473,2.6013,2.5557,2.6007,2824058.021154
1739865600,2.5452,2.5797,2.5636,2.5555,5033009.334126
1739862000,2.5411,2.5848,2.5533,2.5631,4242340.15936
1739858400,2.5302,2.612,2.6089,2.5532,17733193.217696
1739854800,2.6037,2.6504,2.6463,2.6087,3678299.225483
1739851200,2.6379,2.6675,2.66,2.6458,2818652.766
1739847600,2.6445,2.6666,2.6554,2.66,2266300.862239
1739844000,2.6526,2.6702,2.6663,2.6554,2220487.029268
1739840400,2.63,2.6692,2.6361,2.6663,3285408.912853
1739836800,2.6255,2.6659,2.6599,2.6361,4311804.942446
