time,low,high,open,close,volume
1740009600,0.7702,0.7822,0.7741,0.7783,1271307.63574589
1740006000,0.7647,0.7762,0.7647,0.7737,3459469.27271419
1740002400,0.7564,0.768,0.7575,0.7647,1059970.28828561
1739998800,0.755,0.7646,0.7585,0.7574,1282329.59778659
1739995200,0.758,0.7647,0.7603,0.7585,928274.39600255
1739991600,0.7519,0.7657,0.7562,0.7603,2497595.71558959
1739988000,0.7555,0.7672,0.7664,0.7561,2352989.60035471
1739984400,0.7626,0.7711,0.7679,0.7663,1692615.01251263
1739980800,0.7589,0.7706,0.759,0.7676,1826744.33892169
1739977200,0.7502,0.7659,0.7524,0.7589,2024400.13697317
1739973600,0.7507,0.7701,0.7669,0.752,3173448.12923036
1739970000,0.7609,0.7691,0.7609,0.7668,1379974.36636432
1739966400,0.7605,0.7748,0.7745,0.7609,1830811.18864657
1739962800,0.7639,0.7761,0.7655,0.7745,1337741.78962265
1739959200,0.7628,0.7704,0.7635,0.7656,1113047.47915575
1739955600,0.7555,0.7656,0.7565,0.7635,958317.22924526
1739952000,0.7557,0.7701,0.7627,0.7563,2949422.9320567
1739948400,0.75,0.7695,0.7506,0.7629,2059984.96481225
1739944800,0.7416,0.7524,0.7417,0.751,1314814.98155479
1739941200,0.7314,0.7438,0.7357,0.7416,1586684.54821555
1739937600,0.7357,0.7534,0.7522,0.7357,1153592.61362692
1739934000,0.7478,0.7553,0.7553,0.7524,1065435.32887418
1739930400,0.7431,0.7576,0.7433,0.755,1460953.65602819
1739926800,0.7391,0.7502,0.7497,0.7432,2923653.12710218
1739923200,0.7482,0.7578,0.7539,0.7495,1605548.72554078
