time,low,high,open,close,volume
1739836800,95535.83,96070.26,95781.8,95621.53,164.3535162
1739833200,95696.12,96029.54,95884.63,95781.8,133.41586089
1739829600,95851.24,96428.74,96406.9,95884.64,107.43661049
1739826000,95912.12,96428.76,95978.24,96406.84,158.826832
1739822400,95488.28,96287.83,95534.03,95978.25,278.48010239
1739818800,95200.0,95598.09,95321.32,95534.03,279.54013311
1739815200,95231.59,95786.61,95478.51,95329.97,272.17722623
1739811600,95268.11,95735.53,95344.7,95485.52,312.74174835
1739808000,95310.0,95950.0,95672.27,95336.93,426.54085407
1739804400,95565.11,96900.0,96814.53,95669.95,266.48747836
1739800800,96398.54,97050.64,96419.56,96814.75,164.5034429
1739797200,96252.17,96485.86,96459.15,96419.56,69.83071196
1739793600,96053.77,96516.97,96068.38,96459.45,77.66283873
1739790000,95982.28,96308.02,96108.07,96068.38,92.27248881
1739786400,96041.27,96410.23,96166.26,96109.95,65.84292736
1739782800,96074.93,96327.98,96155.7,96161.52,50.8513054
1739779200,95935.94,96295.67,96066.86,96151.68,60.15109734
1739775600,95891.66,96484.35,96395.64,96069.76,69.40379359
1739772000,96209.2,96454.34,96252.12,96395.63,52.27858981
1739768400,95811.44,96332.65,96037.56,96254.84,152.93553487
1739764800,96000.06,96268.35,96202.26,96037.57,77.14809375
1739761200,96056.46,96291.0,96230.78,96202.26,78.95703522
1739757600,96171.01,96644.75,96514.1,96228.17,64.87548655
1739754000,96070.94,96549.03,96329.25,96514.7,117.18316744
1739750400,96044.67,96451.44,96119.88,96329.36,103.46937301
