time,low,high,open,close,volume
1739664000,0.7794,0.7895,0.7811,0.7804,1239282.20897436
1739660400,0.7785,0.784,0.7801,0.7811,1026398.17017441
1739656800,0.7754,0.7848,0.7809,0.7802,797189.05193052
1739653200,0.7782,0.782,0.7789,0.7809,747526.44681277
1739649600,0.7748,0.7861,0.784,0.7791,2232260.35144499
1739646000,0.7828,0.7901,0.7893,0.784,1184710.21819149
1739642400,0.7826,0.7915,0.7836,0.7893,1905938.26357459
1739638800,0.7807,0.7875,0.7844,0.7837,1140302.44305733
1739635200,0.7821,0.7886,0.7868,0.7846,1066896.63105565
1739631600,0.7835,0.7917,0.7881,0.7866,870237.10651601
1739628000,0.7801,0.7923,0.7921,0.7879,3123837.88732885
1739624400,0.7907,0.7963,0.794,0.7921,771746.03149502
1739620800,0.7919,0.7971,0.7943,0.7938,476502.40031263
1739617200,0.79,0.8,0.7984,0.794,790304.3452259
1739613600,0.7938,0.801,0.7981,0.7986,574152.6768092
1739610000,0.7975,0.8038,0.8006,0.7979,828583.5015473
1739606400,0.7966,0.8047,0.7967,0.8005,529583.45859045
1739602800,0.7932,0.8012,0.7961,0.7967,1356853.2714957
1739599200,0.795,0.8057,0.8057,0.7965,1168236.35223481
1739595600,0.805,0.8102,0.8094,0.8058,1130947.75823732
1739592000,0.8065,0.8141,0.808,0.8096,1100437.01129831
1739588400,0.8063,0.8138,0.8137,0.8079,830040.54789956
1739584800,0.805,0.8139,0.805,0.8135,1912132.36409997
1739581200,0.7942,0.8059,0.7947,0.8051,1161865.9716779
1739577600,0.791,0.8003,0.7998,0.795,1639532.97085103
