time,low,high,open,close,volume
1740009600,2.7026,2.7485,2.7377,2.7141,9671159.737806
1740006000,2.7042,2.747,2.7042,2.7377,9670026.242898
1740002400,2.666,2.7182,2.6728,2.7038,6124698.531494
1739998800,2.658,2.6967,2.6649,2.6731,4856032.985029
1739995200,2.6559,2.6848,2.6597,2.6655,6141737.249139
1739991600,2.6326,2.6789,2.6509,2.6604,7424447.472917
1739988000,2.6475,2.6837,2.6752,2.6505,7486680.516716
1739984400,2.6358,2.6926,2.6418,2.6755,7470018.606068
1739980800,2.6065,2.6752,2.6073,2.6419,9866538.303064
1739977200,2.5732,2.6242,2.5819,2.6073,5548058.041847
1739973600,2.581,2.625,2.6102,2.5821,6009360.008252
1739970000,2.5842,2.6129,2.5842,2.6098,3236136.350927
1739966400,2.582,2.6215,2.6144,2.5841,5005422.734891
1739962800,2.5722,2.6316,2.5749,2.6147,7256226.028036
1739959200,2.5586,2.5842,2.5589,2.5749,3168370.234871
1739955600,2.543,2.565,2.5458,2.5589,1761456.91939
1739952000,2.542,2.57,2.5562,2.5457,2339661.545343
1739948400,2.5429,2.5645,2.5454,2.5562,4695095.546793
1739944800,2.5203,2.5484,2.5297,2.5453,3050439.397019
1739941200,2.5113,2.5355,2.5166,2.5298,2530125.232742
1739937600,2.5147,2.5551,2.5529,2.517,3395043.667522
1739934000,2.5428,2.571,2.5698,2.5527,4726912.950344
1739930400,2.5361,2.5764,2.5377,2.5698,4542956.289303
1739926800,2.5174,2.5395,2.5362,2.5375,3963770.859996
1739923200,2.5299,2.576,2.5615,2.5368,6121609.240462
