time,low,high,open,close,volume
1740182400,95767.95,96242.61,96157.03,96189.66,838.51928024
1740178800,95599.19,96240.02,95773.34,96157.03,725.70094273
1740175200,95150.0,95869.56,95299.06,95773.35,589.05157819
1740171600,94871.1,95391.01,94924.97,95296.62,1277.18622783
1740168000,94721.92,95623.65,95232.71,94937.7,3019.34457589
1740164400,95134.21,96823.94,96517.67,95232.71,2319.22587645
1740160800,96500.0,97253.31,96960.63,96517.68,1422.78725677
1740157200,96805.67,98465.81,98230.02,96966.86,1360.50125966
1740153600,97756.5,98778.36,98127.23,98230.03,1471.23834088
1740150000,97160.03,99363.67,98812.35,98127.24,1935.22033892
1740146400,98363.09,99405.67,99368.75,98809.43,961.93826164
1740142800,98816.83,99517.52,98931.26,99368.76,938.26918007
1740139200,98554.76,98980.0,98662.06,98931.26,349.08669915
1740135600,98502.11,98847.43,98643.0,98662.06,229.83665995
1740132000,98261.14,98712.49,98376.33,98643.0,237.63875916
1740128400,98135.17,98938.4,98246.89,98376.33,387.40136403
1740124800,98152.43,98306.58,98221.47,98246.9,143.41042602
1740121200,98200.73,98645.04,98428.11,98217.89,305.35886402
1740117600,98315.84,98466.76,98369.89,98428.1,189.33380014
1740114000,98187.28,98441.88,98235.35,98369.89,242.27602176
1740110400,98143.26,98328.57,98174.98,98235.36,219.48340961
1740106800,98106.98,98338.8,98143.96,98174.98,229.48932718
1740103200,98132.72,98426.52,98344.99,98143.96,222.9303854
1740099600,98131.94,98404.35,98267.25,98344.99,224.48525898
1740096000,98106.38,98547.53,98347.2,98267.26,297.04440515
